点名      	观测角(d.ms)	方位角(d.ms)	距离(m)   	X增量(m)  	Y增量(m)  	X坐标(m)  	Y坐标(m)  
A410    	        	        	        	        	        	3418028.6802	481650.0714
        	        	30°39′52.2″	        	        	        	        	        
B095    	120°56′48.3″	        	        	        	        	3418841.163	482131.808
        	        	331°36′40.6″	77.4688875	68.1524 	-36.8329	        	        
AI329305	72°38′46.2″	        	        	        	        	3418909.3154	482094.9751
        	        	224°15′26.8″	184.96005	-132.4707	-129.0808	        	        
D0301   	179°24′11.4″	        	        	        	        	3418776.8447	481965.8943
        	        	223°39′38.2″	154.9366	-112.0879	-106.9661	        	        
D0302   	178°43′50.2″	        	        	        	        	3418664.7568	481858.9282
        	        	222°23′28.4″	156.9120875	-115.889	-105.7886	        	        
D0303   	178°3′6.4″	        	        	        	        	3418548.8677	481753.1396
        	        	220°26′34.8″	175.4307375	-133.5121	-113.8006	        	        
D0304   	177°48′45″	        	        	        	        	3418415.3556	481639.339
        	        	218°15′19.8″	170.043725	-133.5283	-105.2861	        	        
D0305   	177°45′42″	        	        	        	        	3418281.8273	481534.0529
        	        	216°1′1.8″	178.1571875	-144.1011	-104.7616	        	        
D0306   	177°47′10.8″	        	        	        	        	3418137.7262	481429.2913
        	        	213°48′12.6″	170.8126375	-141.9371	-95.0312	        	        
D1301   	177°37′8.3″	        	        	        	        	3417995.7892	481334.2601
        	        	211°25′20.9″	204.440925	-174.4592	-106.5844	        	        
D1302   	177°27′21.2″	        	        	        	        	3417821.33	481227.6758
        	        	208°52′42.1″	195.0171375	-170.7664	-94.1841	        	        
D1303   	176°1′19.7″	        	        	        	        	3417650.5636	481133.4917
        	        	204°54′1.8″	210.978 	-191.3658	-88.8312	        	        
D1304   	180°6′24.8″	        	        	        	        	3417459.1978	481044.6605
        	        	205°0′26.6″	196.4094875	-177.997	-83.0294	        	        
D1305   	174°53′19.1″	        	        	        	        	3417281.2008	480961.6311
        	        	199°53′45.7″	196.2826	-184.5671	-66.798 	        	        
D2301   	180°7′15.1″	        	        	        	        	3417096.6338	480894.8331
        	        	200°1′0.8″	196.3892375	-184.526	-67.2237	        	        
D2302   	174°51′31.5″	        	        	        	        	3416912.1078	480827.6094
        	        	194°52′32.3″	196.297425	-189.7188	-50.3941	        	        
D2303   	180°8′48.8″	        	        	        	        	3416722.389	480777.2154
        	        	195°1′21.1″	196.505575	-189.79 	-50.9342	        	        
D23042  	174°44′13.5″	        	        	        	        	3416532.5989	480726.2811
        	        	189°45′34.6″	275.965575	-271.9719	-46.7805	        	        
D2305   	179°40′10.1″	        	        	        	        	3416260.627	480679.5007
        	        	189°25′44.7″	166.1397625	-163.8953	-27.2184	        	        
D2306   	172°51′52.7″	        	        	        	        	3416096.7317	480652.2823
        	        	182°17′37.4″	        	        	        	        	        
A424-1  	        	        	        	        	        	3415377.6572	480623.4802
        	        	        	        	        	        	        	        
