规则格网体积计算
	基本信息
--------------------------------------------------------------------------------------------------
基准高程:9
单位网格边长:1
网格纵向个数:56
网格横向个数:26
单位网格总数:1456
总体积:3055.323
填方体积:0
挖方体积:3055.323

	凸包点信息
--------------------------------------------------------------------------------------------------
点号          X坐标         Y坐标         高程          
P28            3778.428       2845.174       10.354        
P05            3795.293       2853.8         10.115        
P04            3799.039       2856.23        10.102        
P03            3799.283       2864.64        9.977         
P02            3795.959       2868.952       9.615         
P12            3792.979       2870.191       9.554         
P11            3785.879       2870.586       9.528         
P51            3769.646       2870.663       10.22         
P35            3751.04        2864.182       10.537        
P34            3744.891       2859.717       11.13         
P33            3744.116       2853.723       10.773        
P32            3749.893       2848.263       10.633        
P31            3757.095       2846.279       10.65         
P29            3772.222       2845.423       10.604        
P28            3778.428       2845.174       10.354        
                                                           

	网格处理数据
--------------------------------------------------------------------------------------------------
编号          X坐标         Y坐标         高程          土方          
1,15           3759.116       2846.174       12.5212042727919 3.52120427279187
1,16           3760.116       2846.174       12.7292173297965 3.72921732979649
1,17           3761.116       2846.174       12.7686812140378 3.76868121403784
1,18           3762.116       2846.174       12.6216398484628 3.62163984846283
1,19           3763.116       2846.174       12.3312335225111 3.33123352251108
1,20           3764.116       2846.174       11.8289027937939 2.82890279379391
1,21           3765.116       2846.174       11.6670573800044 2.66705738000438
1,22           3766.116       2846.174       12.0186286394012 3.01862863940116
1,23           3767.116       2846.174       12.1920839306935 3.19208393069355
1,24           3768.116       2846.174       12.1687193569961 3.16871935699612
1,25           3769.116       2846.174       12.080181859413 3.08018185941304
1,26           3770.116       2846.174       11.9137208664462 2.91372086644617
1,27           3771.116       2846.174       11.5986218639043 2.59862186390428
1,28           3772.116       2846.174       11.3207786611892 2.3207786611892
1,29           3773.116       2846.174       11.3217698446888 2.32176984468884
1,30           3774.116       2846.174       11.369499076599 2.36949907659898
1,31           3775.116       2846.174       11.2959090992571 2.29590909925713
1,32           3776.116       2846.174       11.1033304901893 2.10333049018932
1,33           3777.116       2846.174       10.9130991526153 1.91309915261532
1,34           3778.116       2846.174       10.8145837386501 1.81458373865007
1,35           3779.116       2846.174       10.7501830963323 1.75018309633235
1,36           3780.116       2846.174       10.6850404237533 1.68504042375329
2,10           3754.116       2847.174       12.3289398357964 3.32893983579635
2,11           3755.116       2847.174       12.3959718947767 3.39597189477675
2,12           3756.116       2847.174       12.215416266162 3.21541626616205
2,13           3757.116       2847.174       12.0616104626322 3.06161046263222
2,14           3758.116       2847.174       12.2882519042067 3.28825190420674
2,15           3759.116       2847.174       12.6384747210218 3.63847472102177
2,16           3760.116       2847.174       12.8406612455646 3.84066124556458
2,17           3761.116       2847.174       12.9032439939102 3.90324399391019
2,18           3762.116       2847.174       12.8056681910473 3.8056681910473
2,19           3763.116       2847.174       12.5766880816025 3.57668808160248
2,20           3764.116       2847.174       12.2475614621304 3.24756146213044
2,21           3765.116       2847.174       12.0729123837796 3.07291238377961
2,22           3766.116       2847.174       12.2041821058594 3.20418210585943
2,23           3767.116       2847.174       12.2784890554236 3.27848905542358
2,24           3768.116       2847.174       12.2425923283886 3.24259232838858
2,25           3769.116       2847.174       12.1544760370169 3.15447603701693
2,26           3770.116       2847.174       12.0092464769058 3.00924647690575
2,27           3771.116       2847.174       11.7969941802637 2.79699418026369
2,28           3772.116       2847.174       11.5648406689376 2.56484066893756
2,29           3773.116       2847.174       11.4656383319901 2.46563833199006
2,30           3774.116       2847.174       11.4227485958662 2.42274859586621
2,31           3775.116       2847.174       11.3477368295656 2.34773682956561
2,32           3776.116       2847.174       11.217693646584 2.21769364658402
2,33           3777.116       2847.174       11.0688796689839 2.06887966898388
2,34           3778.116       2847.174       10.9499943502392 1.94999435023916
2,35           3779.116       2847.174       10.847716154831 1.847716154831
2,36           3780.116       2847.174       10.6807285893844 1.68072858938437
2,37           3781.116       2847.174       10.6156160556742 1.61561605567424
2,38           3782.116       2847.174       10.6105025028715 1.61050250287147
3,7            3751.116       2848.174       11.7680986174573 2.76809861745727
3,8            3752.116       2848.174       12.1019288874763 3.10192888747628
3,9            3753.116       2848.174       12.2803233033183 3.28032330331829
3,10           3754.116       2848.174       12.4453447800368 3.44534478003678
3,11           3755.116       2848.174       12.5418082863084 3.54180828630838
3,12           3756.116       2848.174       12.5270797403635 3.52707974036346
3,13           3757.116       2848.174       12.5360772541593 3.53607725415935
3,14           3758.116       2848.174       12.6583206862964 3.65832068629641
3,15           3759.116       2848.174       12.8334230725905 3.83342307259053
3,16           3760.116       2848.174       12.9922130270863 3.99221302708629
3,17           3761.116       2848.174       13.0733022527249 4.07330225272491
3,18           3762.116       2848.174       13.0008935334312 4.00089353343122
3,19           3763.116       2848.174       12.8203927747692 3.82039277476922
3,20           3764.116       2848.174       12.5920541540255 3.59205415402553
3,21           3765.116       2848.174       12.4110477077166 3.41104770771662
3,22           3766.116       2848.174       12.4007377447529 3.40073774475288
3,23           3767.116       2848.174       12.416470655069 3.41647065506896
3,24           3768.116       2848.174       12.3740930180827 3.37409301808272
3,25           3769.116       2848.174       12.2742755261092 3.27427552610922
3,26           3770.116       2848.174       12.1205261243277 3.12052612432769
3,27           3771.116       2848.174       11.9431411691977 2.94314116919771
3,28           3772.116       2848.174       11.7170044572093 2.71700445720926
3,29           3773.116       2848.174       11.5509538336278 2.55095383362783
3,30           3774.116       2848.174       11.4591976008904 2.45919760089045
3,31           3775.116       2848.174       11.372643583039 2.37264358303895
3,32           3776.116       2848.174       11.3061165875696 2.30611658756963
3,33           3777.116       2848.174       11.1796926049358 2.1796926049358
3,34           3778.116       2848.174       11.0243441692078 2.02434416920777
3,35           3779.116       2848.174       10.90322249942 1.90322249942001
3,36           3780.116       2848.174       10.7547449655256 1.75474496552559
3,37           3781.116       2848.174       10.6872079223133 1.68720792231327
3,38           3782.116       2848.174       10.7158227968647 1.71582279686466
3,39           3783.116       2848.174       10.6530417450698 1.6530417450698
3,40           3784.116       2848.174       10.5949614812992 1.59496148129919
4,5            3749.116       2849.174       11.6284795479124 2.62847954791243
4,6            3750.116       2849.174       11.6176676795496 2.61766767954962
4,7            3751.116       2849.174       11.8993895579432 2.8993895579432
4,8            3752.116       2849.174       12.1559347756202 3.1559347756202
4,9            3753.116       2849.174       12.3687828192288 3.36878281922876
4,10           3754.116       2849.174       12.5827915931998 3.58279159319978
4,11           3755.116       2849.174       12.6972231051462 3.69722310514623
4,12           3756.116       2849.174       12.7013340350445 3.70133403504445
4,13           3757.116       2849.174       12.7249917211903 3.72499172119031
4,14           3758.116       2849.174       12.8128605205676 3.81286052056763
4,15           3759.116       2849.174       12.9239490691503 3.92394906915026
4,16           3760.116       2849.174       13.0695774464703 4.06957744647033
4,17           3761.116       2849.174       13.1945137380427 4.1945137380427
4,18           3762.116       2849.174       13.1672389577098 4.1672389577098
4,19           3763.116       2849.174       12.9749867816983 3.97498678169829
4,20           3764.116       2849.174       12.766063937222 3.76606393722203
4,21           3765.116       2849.174       12.638220315244 3.63822031524404
4,22           3766.116       2849.174       12.583924856275 3.58392485627503
4,23           3767.116       2849.174       12.5670326583168 3.56703265831683
4,24           3768.116       2849.174       12.5179858381081 3.51798583810809
4,25           3769.116       2849.174       12.3832429537252 3.38324295372523
4,26           3770.116       2849.174       12.2000766219935 3.20007662199349
4,27           3771.116       2849.174       12.025415105454 3.02541510545402
4,28           3772.116       2849.174       11.8513564593457 2.85135645934567
4,29           3773.116       2849.174       11.6516590384846 2.65165903848457
4,30           3774.116       2849.174       11.4936395062745 2.49363950627451
4,31           3775.116       2849.174       11.4089299883102 2.40892998831024
4,32           3776.116       2849.174       11.3380566496059 2.33805664960587
4,33           3777.116       2849.174       11.2334449187881 2.23344491878807
4,34           3778.116       2849.174       11.102002624908 2.10200262490798
4,35           3779.116       2849.174       10.9826018252528 1.98260182525277
4,36           3780.116       2849.174       10.8907771463565 1.89077714635653
4,37           3781.116       2849.174       10.78153616387 1.78153616387003
4,38           3782.116       2849.174       10.7445363176669 1.74453631766687
4,39           3783.116       2849.174       10.7340571409963 1.73405714099628
4,40           3784.116       2849.174       10.6748462200775 1.67484622007754
4,41           3785.116       2849.174       10.6997951034365 1.69979510343653
4,42           3786.116       2849.174       10.7619580938881 1.7619580938881
5,4            3748.116       2850.174       11.8495653878358 2.84956538783575
5,5            3749.116       2850.174       11.8163783604419 2.81637836044194
5,6            3750.116       2850.174       11.9266998908998 2.92669989089977
5,7            3751.116       2850.174       12.1276979681498 3.12769796814979
5,8            3752.116       2850.174       12.293904436719 3.29390443671903
5,9            3753.116       2850.174       12.492886582782 3.49288658278202
5,10           3754.116       2850.174       12.6829036050333 3.68290360503332
5,11           3755.116       2850.174       12.7986275093528 3.7986275093528
5,12           3756.116       2850.174       12.8168146145301 3.81681461453005
5,13           3757.116       2850.174       12.8139468290331 3.81394682903306
5,14           3758.116       2850.174       12.8829763350186 3.88297633501862
5,15           3759.116       2850.174       12.9693290451876 3.96932904518757
5,16           3760.116       2850.174       13.0721366609007 4.07213666090068
5,17           3761.116       2850.174       13.1879387114011 4.18793871140113
5,18           3762.116       2850.174       13.1753522444184 4.1753522444184
5,19           3763.116       2850.174       13.0249934302476 4.02499343024763
5,20           3764.116       2850.174       12.8805684609435 3.88056846094346
5,21           3765.116       2850.174       12.8080054037854 3.80800540378541
5,22           3766.116       2850.174       12.7808780795569 3.78087807955693
5,23           3767.116       2850.174       12.7446966242905 3.74469662429053
